Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
NDUFA4L2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFA4	NDUFA4 mitochondrial complex associated like 2
NDUFA5	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A5
NDUFA6	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A6
NDUFA7	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A7
NDUFA8	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A8
NDUFA9	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit A9
NDUFAB1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit AB1
NDUFB1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B1
NDUFB10	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B10
NDUFB11	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B11
NDUFB2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B2
NDUFB3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B3
NDUFB4	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B4
NDUFB5	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B5
NDUFB6	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B6
NDUFB7	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B7
NDUFB8	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B8
NDUFB9	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit B9
NDUFC1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit C1
NDUFC2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit C2
NDUFC2-KCTD14	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough
NDUFS1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit S1
NDUFS2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit S4
NDUFS5	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit S5
NDUFS6	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit S6
NDUFS7	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit V1
NDUFV2	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase core subunit V2
NDUFV3	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	NADH:ubiquinone	NADH:ubiquinone oxidoreductase subunit V3
NEU1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	neuraminidase	neuraminidase 1
NEU2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	neuraminidase	neuraminidase 2
NEU3	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	neuraminidase	neuraminidase 3
NEU4	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	neuraminidase	neuraminidase 4
NFS1	hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	NFS1	NFS1 cysteine desulfurase
NIT2	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	nitrilase	nitrilase family member 2
NME1	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 nucleoside diphosphate kinase 1
NME1-NME2	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME1-NME2	NME1-NME2 readthrough
NME2	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 nucleoside diphosphate kinase 2
NME3	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 nucleoside diphosphate kinase 3
NME4	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 nucleoside diphosphate kinase 4
NME6	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 nucleoside diphosphate kinase 6
NME7	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	NME/NM23	NME/NM23 family member 7
NMNAT1	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide nucleotide adenylyltransferase 1
NMNAT2	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide nucleotide adenylyltransferase 2
NMNAT3	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide nucleotide adenylyltransferase 3
NMRK1	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide riboside kinase 1
NMRK2	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide riboside kinase 2
NNMT	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide N-methyltransferase
NNT	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nicotinamide	nicotinamide nucleotide transhydrogenase
NOS1	hsa00220 / hsa00330	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	nitric	nitric oxide synthase 1
NOS2	hsa00220 / hsa00330	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	nitric	nitric oxide synthase 2
NOS3	hsa00220 / hsa00330	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human)	nitric	nitric oxide synthase 3
NPL	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	N-acetylneuraminate	N-acetylneuraminate pyruvate lyase
NPR1	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	natriuretic	natriuretic peptide receptor 1
NPR2	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	natriuretic	natriuretic peptide receptor 2
NQO1	hsa00130	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	NAD(P)H	NAD(P)H quinone dehydrogenase 1
NSD1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	nuclear	nuclear receptor binding SET domain protein 1
WHSC1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	nuclear	nuclear receptor binding SET domain protein 2
WHSC1L1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	nuclear	nuclear receptor binding SET domain protein 3
NSDHL	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	NAD(P)	NAD(P) dependent steroid dehydrogenase-like
NT5C	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5',	5', 3'-nucleotidase, cytosolic
NT5C1A	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5'-nucleotidase,	5'-nucleotidase, cytosolic IA
NT5C1B	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5'-nucleotidase,	5'-nucleotidase, cytosolic IB
NT5C1B-RDH14	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	NT5C1B-RDH14	NT5C1B-RDH14 readthrough
NT5C2	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5'-nucleotidase,	5'-nucleotidase, cytosolic II
NT5C3A	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	5'-nucleotidase,	5'-nucleotidase, cytosolic IIIA
NT5C3B	hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	5'-nucleotidase,	5'-nucleotidase, cytosolic IIIB
NT5DC4	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5'-nucleotidase	5'-nucleotidase domain containing 4
NT5E	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5'-nucleotidase	5'-nucleotidase ecto
NT5M	hsa00230 / hsa00240 / hsa00760	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Nicotinate and nicotinamide metabolism - Homo sapiens (human)	5',3'-nucleotidase,	5',3'-nucleotidase, mitochondrial
NTPCR	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	nucleoside-triphosphatase,	nucleoside-triphosphatase, cancer-related
NUDT12	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nudix	nudix hydrolase 12
NUDT13	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	nudix	nudix hydrolase 13
NUDT16	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	nudix	nudix hydrolase 16
NUDT2	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	nudix	nudix hydrolase 2
NUDT5	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	nudix	nudix hydrolase 5
NUDT9	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	nudix	nudix hydrolase 9
OAT	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	ornithine	ornithine aminotransferase
OCRL	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	OCRL	OCRL inositol polyphosphate-5-phosphatase
ODC1	hsa00330 / hsa00480	Amino acid metabolism / Metabolism of other amino acids	Arginine and proline metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	ornithine	ornithine decarboxylase 1
OGDH	hsa00020 / hsa00785	Carbohydrate metabolism / Metabolism of cofactors and vitamins	Citrate cycle (TCA cycle) - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	oxoglutarate	oxoglutarate dehydrogenase
OGDHL	hsa00020 / hsa00785	Carbohydrate metabolism / Metabolism of cofactors and vitamins	Citrate cycle (TCA cycle) - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	oxoglutarate	oxoglutarate dehydrogenase L
OLAH	hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	oleoyl-ACP	oleoyl-ACP hydrolase
OPLAH	hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	5-oxoprolinase,	5-oxoprolinase, ATP-hydrolysing
OTC	hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ornithine	ornithine transcarbamylase
OXCT1	hsa00650 / hsa00280	Carbohydrate metabolism / Amino acid metabolism	Butanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	3-oxoacid	3-oxoacid CoA-transferase 1
OXCT2	hsa00650 / hsa00280	Carbohydrate metabolism / Amino acid metabolism	Butanoate metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	3-oxoacid	3-oxoacid CoA-transferase 2
OXSM	hsa00061 / hsa00780	Lipid metabolism / Metabolism of cofactors and vitamins	Fatty acid biosynthesis - Homo sapiens (human) / Biotin metabolism - Homo sapiens (human)	3-oxoacyl-ACP	3-oxoacyl-ACP synthase, mitochondrial
P4HA1	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	prolyl	prolyl 4-hydroxylase subunit alpha 1
P4HA2	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	prolyl	prolyl 4-hydroxylase subunit alpha 2
P4HA3	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	prolyl	prolyl 4-hydroxylase subunit alpha 3
PAFAH1B1	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	platelet	platelet activating factor acetylhydrolase 1b regulatory subunit 1
PAFAH1B2	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	platelet	platelet activating factor acetylhydrolase 1b catalytic subunit 2
PAFAH1B3	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	platelet	platelet activating factor acetylhydrolase 1b catalytic subunit 3
PAFAH2	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	platelet	platelet activating factor acetylhydrolase 2
PAH	hsa00360 / hsa00400 / hsa00790	Amino acid metabolism / Metabolism of cofactors and vitamins	Phenylalanine metabolism - Homo sapiens (human) / Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	phenylalanine	phenylalanine hydroxylase
PAICS	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	phosphoribosylaminoimidazole	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
PANK1	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	pantothenate	pantothenate kinase 1
PANK2	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	pantothenate	pantothenate kinase 2
PANK3	hsa00770	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis - Homo sapiens (human)	pantothenate	pantothenate kinase 3
PAPSS1	hsa00920 / hsa00230 / hsa00450	Energy metabolism / Nucleotide metabolism / Metabolism of other amino acids	Sulfur metabolism - Homo sapiens (human) / Purine metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human)	3'-phosphoadenosine	3'-phosphoadenosine 5'-phosphosulfate synthase 1
PAPSS2	hsa00920 / hsa00230 / hsa00450	Energy metabolism / Nucleotide metabolism / Metabolism of other amino acids	Sulfur metabolism - Homo sapiens (human) / Purine metabolism - Homo sapiens (human) / Selenocompound metabolism - Homo sapiens (human)	3'-phosphoadenosine	3'-phosphoadenosine 5'-phosphosulfate synthase 2
